,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_3,npsf_3,nfa_3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B4,npsf_B4,nfa_B4,lumpSum_change,npsf_change
2016-1-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2016-2-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2016-3-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2016-4-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2016-5-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2016-6-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2016-7-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2016-8-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2016-9-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2016-10-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2016-11-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2016-12-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2017-1-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2017-2-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2017-3-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2017-4-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2017-5-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2017-6-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2017-7-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2017-8-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2017-9-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2017-10-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2017-11-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
2017-12-15,,,5,,,,"GOODVIEW GARDEN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,,,,,,,,,,,,,,,
