,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,10281864.0,18049.8,5,51409320,90249,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",10517850.0,18550.0,567.0,9728190.0,17067.0,570.0,9994560.0,17232.0,580.0,10475100.0,18540.0,565.0,10693620.0,18860.0,567.0,-0.0639308882348194,-0.06393328700486445
2019-11-15,10984086.4,19282.6,5,54920432,96413,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",11239074.0,19822.0,567.0,10387680.0,18224.0,570.0,10672580.0,18401.0,580.0,11193780.0,19812.0,565.0,11427318.0,20154.0,567.0,0.01436394164764021,0.014361164885110744
2019-10-15,10828545.8,19009.6,5,54142729,95048,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",11083149.0,19547.0,567.0,10235490.0,17957.0,570.0,10516560.0,18132.0,580.0,11038405.0,19537.0,565.0,11269125.0,19875.0,567.0,-0.001656918899020532,-0.0016595592714746532
2019-9-15,10846517.6,19041.2,5,54232588,95206,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",11104695.0,19585.0,567.0,10247460.0,17978.0,570.0,10529320.0,18154.0,580.0,11059875.0,19575.0,565.0,11291238.0,19914.0,567.0,-0.0464214792112132,-0.04642381386404382
2019-8-15,11374540.6,19968.2,5,56872703,99841,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",11648448.0,20544.0,567.0,10741080.0,18844.0,570.0,11037400.0,19030.0,580.0,11601145.0,20533.0,565.0,11844630.0,20890.0,567.0,0.012855963126457759,0.012853287885243647
2019-7-15,11230166.0,19714.8,5,56150830,98574,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",11503863.0,20289.0,567.0,10599720.0,18596.0,570.0,10892400.0,18780.0,580.0,11457070.0,20278.0,565.0,11697777.0,20631.0,567.0,0.005090479807350556,0.005087942900841247
2019-6-15,11173288.6,19615.0,5,55866443,98075,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",11448297.0,20191.0,567.0,10541010.0,18493.0,570.0,10832660.0,18677.0,580.0,11402265.0,20181.0,565.0,11642211.0,20533.0,567.0,-0.0032882876116172577,-0.0032927163893942124
2019-5-15,11210150.8,19679.8,5,56050754,98399,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",11522007.0,20321.0,567.0,10440690.0,18317.0,570.0,10894720.0,18784.0,580.0,11475715.0,20311.0,565.0,11717622.0,20666.0,567.0,0.04018296136049737,0.0401805535000741
2019-4-15,10777095.2,18919.6,5,53885476,94598,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",11079747.0,19541.0,567.0,10033710.0,17603.0,570.0,10469580.0,18051.0,580.0,11035015.0,19531.0,565.0,11267424.0,19872.0,567.0,0.022805368719359453,0.02280271167382053
2019-3-15,10536799.6,18497.8,5,52683998,92489,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",10835370.0,19110.0,567.0,9806850.0,17205.0,570.0,10231200.0,17640.0,580.0,10791500.0,19100.0,565.0,11019078.0,19434.0,567.0,-0.0011103366996217945,-0.001112407119405634
2019-2-15,10548512.0,18518.4,5,52742560,92592,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",10849545.0,19135.0,567.0,9814830.0,17219.0,570.0,10238740.0,17653.0,580.0,10805625.0,19125.0,565.0,11033820.0,19460.0,567.0,0.0017153114743730935,0.0016118040305919124
2019-1-15,10530449.0,18488.6,5,52652245,92443,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",10951038.0,19314.0,567.0,9624450.0,16885.0,570.0,10039220.0,17309.0,580.0,10906760.0,19304.0,565.0,11130777.0,19631.0,567.0,0.04907032920654841,0.04907000760335456
2018-12-15,10037886.6,17623.8,5,50189433,88119,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",10439037.0,18411.0,567.0,9174720.0,16096.0,570.0,9568840.0,16498.0,580.0,10396565.0,18401.0,565.0,10610271.0,18713.0,567.0,-0.02219254456156028,-0.02219287830535177
2018-11-15,10265708.8,18023.8,5,51328544,90119,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",10676043.0,18829.0,567.0,9383340.0,16462.0,570.0,9785180.0,16871.0,580.0,10632735.0,18819.0,565.0,10851246.0,19138.0,567.0,-0.10088671760408452,-0.10088695114286006
2018-10-15,11417592.2,20046.2,5,57087961,100231,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",11874114.0,20942.0,567.0,10436130.0,18309.0,570.0,10882540.0,18763.0,580.0,11826015.0,20931.0,565.0,12069162.0,21286.0,567.0,0.038480694865720144,0.0384802677248568
2018-9-15,10994515.6,19303.4,5,54972578,96517,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",11434689.0,20167.0,567.0,10049670.0,17631.0,570.0,10478280.0,18066.0,580.0,11388140.0,20156.0,565.0,11621799.0,20497.0,567.0,-0.03605407768843394,-0.03605421115183716
2018-8-15,11405739.0,20025.4,5,57028695,100127,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",11862207.0,20921.0,567.0,10425870.0,18291.0,570.0,10869780.0,18741.0,580.0,11814150.0,20910.0,565.0,12056688.0,21264.0,567.0,0.0855060892517705,0.08605859447029607
2018-7-15,10507300.8,18438.6,5,52536504,92193,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",10408986.0,18358.0,567.0,10468620.0,18366.0,570.0,10916180.0,18821.0,580.0,10367185.0,18349.0,565.0,10375533.0,18299.0,567.0,0.04208149139520412,0.04208206171583573
2018-6-15,10082993.4,17694.0,5,50414967,88470,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",9988839.0,17617.0,567.0,10045680.0,17624.0,570.0,10476540.0,18063.0,580.0,9947955.0,17607.0,565.0,9955953.0,17559.0,567.0,0.021746235683965942,0.0217469135089563
2018-5-15,9868393.0,17317.4,5,49341965,86587,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",9775647.0,17241.0,567.0,9831930.0,17249.0,570.0,10254980.0,17681.0,580.0,9736080.0,17232.0,565.0,9743328.0,17184.0,567.0,-0.01819947700808866,-0.018198929608127745
2018-4-15,10051321.8,17638.4,5,50256609,88192,2849,"GOLD NING MANS,TAI HANG DR|高寧大廈,大坑徑",9956520.0,17560.0,567.0,10013760.0,17568.0,570.0,10446380.0,18011.0,580.0,9916315.0,17551.0,565.0,9923634.0,17502.0,567.0,0.026753787135328944,0.026753905977134673
