,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2019-11-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2019-10-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2019-9-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2019-8-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2019-7-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2019-6-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2019-5-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2019-4-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2019-3-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2019-2-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2019-1-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2018-12-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2018-11-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2018-10-15,,,2,,,,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",,,,,,,,
2018-9-15,42711895.0,22444.0,2,85423790,44888,3806,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",42306278.0,22337.0,1894.0,43117512.0,22551.0,1912.0,-0.03605567329302539,-0.03605557583696606
2018-8-15,44309504.0,23283.5,2,88619008,46567,3806,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",43887768.0,23172.0,1894.0,44731240.0,23395.0,1912.0,-0.004042271517524343,-0.0040422619556848005
2018-7-15,44489342.0,23378.0,2,88978684,46756,3806,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",44065804.0,23266.0,1894.0,44912880.0,23490.0,1912.0,0.04221846027877807,0.04221835852168865
2018-6-15,42687156.0,22431.0,2,85374312,44862,3806,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",42281656.0,22324.0,1894.0,43092656.0,22538.0,1912.0,0.02158759114130504,0.021587648585872365
2018-5-15,41785116.0,21957.0,2,83570232,43914,3806,"CAVENDISH HTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",41387688.0,21852.0,1894.0,42182544.0,22062.0,1912.0,-0.018330584462992072,-0.01833057629543522
