,subjFloor,floorLv,unitNo,price,npsf,nfa
7.0/F低層A,7.0,低層,A,24788984,26204,946
18.0/F中層A,18.0,中層,A,26311586,27902,943
29.0/F高層A,29.0,高層,A,28014138,29739,942
7.0/F低層B,7.0,低層,B,13281550,24550,541
18.0/F中層B,18.0,中層,B,14138494,26134,541
29.0/F高層B,29.0,高層,B,15052243,27823,541
7.0/F低層C,7.0,低層,C,13820760,25594,540
18.0/F中層C,18.0,中層,C,14655600,27140,540
29.0/F高層C,29.0,高層,C,15461280,28632,540
7.0/F低層D,7.0,低層,D,13755258,23157,594
18.0/F中層D,18.0,中層,D,14795352,24908,594
29.0/F高層D,29.0,高層,D,15824000,27520,575
