,subjFloor,floorLv,unitNo,price,npsf,nfa
9.0/F低層A,9.0,低層,A,11190982,10823,1034
22.0/F中層A,22.0,中層,A,12145364,11746,1034
33.0/F高層A,33.0,高層,A,13000500,12150,1070
9.0/F低層B,9.0,低層,B,11229240,10860,1034
22.0/F中層B,22.0,中層,B,11794838,11407,1034
33.0/F高層B,33.0,高層,B,13614680,12724,1070
9.0/F低層C,9.0,低層,C,7798533,11657,669
22.0/F中層C,22.0,中層,C,8589291,12839,669
33.0/F高層C,33.0,高層,C,8173842,12218,669
9.0/F低層D,9.0,低層,D,7523252,11212,671
22.0/F中層D,22.0,中層,D,8213040,12240,671
33.0/F高層D,33.0,高層,D,8308993,12383,671
