,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
3.0/F低層A,3.0,低層,A,15442615,13487,1145,141,2,HCB
8.0/F中層A,8.0,中層,A,16065495,14031,1145,151,2,HCB
11.0/F高層A,11.0,高層,A,16441055,14359,1145,151,2,HCB
3.0/F低層B,3.0,低層,B,17369345,13517,1285,185,2,HCB
8.0/F中層B,8.0,中層,B,18069670,14062,1285,198,2,HCB
11.0/F高層B,11.0,高層,B,18491150,14390,1285,197,2,HCB
3.0/F低層C,3.0,低層,C,14118300,13446,1050,139,2,HCB
8.0/F中層C,8.0,中層,C,14687400,13988,1050,149,2,HCB
11.0/F高層C,11.0,高層,C,15030750,14315,1050,149,2,HCB
3.0/F低層D,3.0,低層,D,12268375,14021,875,258,3,HCB
8.0/F中層D,8.0,中層,D,12763625,14587,875,278,3,HCB
11.0/F高層D,11.0,高層,D,13673760,14944,915,289,3,HCB
