,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層1,3.0,低層,1,7459500,14919,500,285,4,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
8.0/F中層1,8.0,中層,1,7696000,15392,500,281,4,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
13.0/F高層1,13.0,高層,1,7008935,16889,415,220,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
3.0/F低層2,3.0,低層,2,5941120,18566,320,254,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
8.0/F中層2,8.0,中層,2,6134720,19171,320,249,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
13.0/F高層2,13.0,高層,2,6328320,19776,320,244,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
3.0/F低層3,3.0,低層,3,5482880,17134,320,326,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
8.0/F中層3,8.0,中層,3,6134720,19171,320,249,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
13.0/F高層3,13.0,高層,3,6328320,19776,320,244,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
3.0/F低層4,3.0,低層,4,7641500,15283,500,339,4,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
8.0/F中層4,8.0,中層,4,6990500,13981,500,151,2,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
13.0/F高層4,13.0,高層,4,7468500,14937,500,304,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
3.0/F低層5,3.0,低層,5,5986240,18707,320,331,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
8.0/F中層5,8.0,中層,5,6179200,19310,320,326,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
13.0/F高層5,13.0,高層,5,6366080,19894,320,342,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
3.0/F低層6,3.0,低層,6,5548480,17339,320,376,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
8.0/F中層6,8.0,中層,6,6085760,19018,320,296,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
13.0/F高層6,13.0,高層,6,6279680,19624,320,289,3,KHH,"YUEN FU BLDG,WHAMPOA EST,DOCK ST|遠富樓(黃埔新村),船澳街"
