,subjFloor,floorLv,unitNo,price,npsf,nfa
3.0/F低層A,3.0,低層,A,12667158,33511,378
6.0/F中層A,6.0,中層,A,13079349,34329,381
8.0/F高層A,8.0,高層,A,15242031,32499,469
3.0/F低層B,3.0,低層,B,13256694,31119,426
6.0/F中層B,6.0,中層,B,11260458,26433,426
8.0/F高層B,8.0,高層,B,11031115,26581,415
3.0/F低層C,3.0,低層,C,11176536,26236,426
6.0/F中層C,6.0,中層,C,14771550,34675,426
8.0/F高層C,8.0,高層,C,11031115,26581,415
3.0/F低層D,3.0,低層,D,12708032,27388,464
6.0/F中層D,6.0,中層,D,17474240,37660,464
8.0/F高層D,8.0,高層,D,15414154,32866,469
3.0/F低層E,3.0,低層,E,7703682,26203,294
6.0/F中層E,6.0,中層,E,12900560,34310,376
8.0/F高層E,8.0,高層,E,12271339,34763,353
3.0/F低層F,3.0,低層,F,7703896,25852,298
6.0/F中層F,6.0,中層,F,11686808,32284,362
8.0/F高層F,8.0,高層,F,12271339,34763,353
3.0/F低層G,3.0,低層,G,10956525,31575,347
6.0/F中層G,6.0,中層,G,11869135,34205,347
8.0/F高層G,8.0,高層,G,12055127,34741,347
3.0/F低層H,3.0,低層,H,9087236,26188,347
6.0/F中層H,6.0,中層,H,11869135,34205,347
8.0/F高層H,8.0,高層,H,12055127,34741,347
