,subjFloor,floorLv,unitNo,price,npsf,nfa
5.0/F低層A,5.0,低層,A,6284460,16114,390
13.0/F中層A,13.0,中層,A,6508320,16688,390
21.0/F高層A,21.0,高層,A,6617520,16968,390
5.0/F低層B,5.0,低層,B,5815222,16807,346
13.0/F中層B,13.0,中層,B,6005176,17356,346
21.0/F高層B,21.0,高層,B,5975766,17271,346
5.0/F低層C,5.0,低層,C,5602778,16193,346
13.0/F中層C,13.0,中層,C,5747752,16612,346
21.0/F高層C,21.0,高層,C,5940820,17170,346
5.0/F低層D,5.0,低層,D,5311274,17587,302
13.0/F中層D,13.0,中層,D,5419692,17946,302
21.0/F高層D,21.0,高層,D,5473448,18124,302
5.0/F低層E,5.0,低層,E,5957259,16687,357
13.0/F中層E,13.0,中層,E,6088635,17055,357
21.0/F高層E,21.0,高層,E,6303192,17656,357
5.0/F低層F,5.0,低層,F,5894784,16512,357
13.0/F中層F,13.0,中層,F,6071499,17007,357
21.0/F高層F,21.0,高層,F,6313188,17684,357
