,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
9.0/F低層1,9.0,低層,1,4247222,15967,266,363,4,HCW
15.0/F中層1,15.0,中層,1,4381020,16470,266,375,4,HCW
21.0/F高層1,21.0,高層,1,4510562,16957,266,372,4,HCW
9.0/F低層2,9.0,低層,2,4300328,15142,284,326,5,HCW
15.0/F中層2,15.0,中層,2,4436648,15622,284,340,5,HCW
21.0/F高層2,21.0,高層,2,4642832,16348,284,368,4,HCW
9.0/F低層3,9.0,低層,3,4174870,15695,266,361,4,HCW
15.0/F中層3,15.0,中層,3,4329416,16276,266,332,4,HCW
21.0/F高層3,21.0,高層,3,4460022,16767,266,327,4,HCW
9.0/F低層4,9.0,低層,4,4191792,15878,264,358,5,HCW
15.0/F中層4,15.0,中層,4,4321680,16370,264,307,4,HCW
21.0/F高層4,21.0,高層,4,4997580,15330,326,307,4,HCW
9.0/F低層5,9.0,低層,5,4197336,15899,264,334,5,HCW
15.0/F中層5,15.0,中層,5,4329336,16399,264,348,5,HCW
21.0/F高層5,21.0,高層,5,4976390,15265,326,324,5,HCW
9.0/F低層6,9.0,低層,6,4208918,15823,266,337,5,HCW
15.0/F中層6,15.0,中層,6,4341386,16321,266,351,5,HCW
21.0/F高層6,21.0,高層,6,4469864,16804,266,355,5,HCW
9.0/F低層7,9.0,低層,7,4220622,15867,266,319,4,HCW
15.0/F中層7,15.0,中層,7,4354686,16371,266,330,4,HCW
21.0/F高層7,21.0,高層,7,4484760,16860,266,331,4,HCW
9.0/F低層8,9.0,低層,8,4197336,15899,264,334,5,HCW
15.0/F中層8,15.0,中層,8,4329336,16399,264,348,5,HCW
21.0/F高層8,21.0,高層,8,4489584,17006,264,378,4,HCW
