,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5.0/F低層A,5.0,低層,A,14435200,11104,1300,96,1,NST,"LILY COURT,WORLD-WIDE GDNS,LUNG PAK ST|百合閣(世界花園),龍柏街"
11.0/F中層A,11.0,中層,A,14808300,11391,1300,105,1,NST,"LILY COURT,WORLD-WIDE GDNS,LUNG PAK ST|百合閣(世界花園),龍柏街"
17.0/F高層A,17.0,高層,A,15182700,11679,1300,114,1,NST,"LILY COURT,WORLD-WIDE GDNS,LUNG PAK ST|百合閣(世界花園),龍柏街"
5.0/F低層B,5.0,低層,B,14650680,11099,1320,63,1,NST,"LILY COURT,WORLD-WIDE GDNS,LUNG PAK ST|百合閣(世界花園),龍柏街"
11.0/F中層B,11.0,中層,B,15029520,11386,1320,69,1,NST,"LILY COURT,WORLD-WIDE GDNS,LUNG PAK ST|百合閣(世界花園),龍柏街"
17.0/F高層B,17.0,高層,B,15408360,11673,1320,75,1,NST,"LILY COURT,WORLD-WIDE GDNS,LUNG PAK ST|百合閣(世界花園),龍柏街"
5.0/F低層C,5.0,低層,C,14721200,11324,1300,150,2,NST,"LILY COURT,WORLD-WIDE GDNS,LUNG PAK ST|百合閣(世界花園),龍柏街"
11.0/F中層C,11.0,中層,C,15099500,11615,1300,165,2,NST,"LILY COURT,WORLD-WIDE GDNS,LUNG PAK ST|百合閣(世界花園),龍柏街"
17.0/F高層C,17.0,高層,C,15466100,11897,1300,171,2,NST,"LILY COURT,WORLD-WIDE GDNS,LUNG PAK ST|百合閣(世界花園),龍柏街"
5.0/F低層D,5.0,低層,D,14650680,11099,1320,63,1,NST,"LILY COURT,WORLD-WIDE GDNS,LUNG PAK ST|百合閣(世界花園),龍柏街"
11.0/F中層D,11.0,中層,D,15029520,11386,1320,69,1,NST,"LILY COURT,WORLD-WIDE GDNS,LUNG PAK ST|百合閣(世界花園),龍柏街"
17.0/F高層D,17.0,高層,D,15408360,11673,1320,75,1,NST,"LILY COURT,WORLD-WIDE GDNS,LUNG PAK ST|百合閣(世界花園),龍柏街"
