,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層1,7.0,低層,1,6372600,9804,650,339,4,KKT
20.0/F中層1,20.0,中層,1,6611150,10171,650,368,4,KKT
33.0/F高層1,33.0,高層,1,7063550,10867,650,348,4,KKT
7.0/F低層2,7.0,低層,2,6561100,10094,650,352,4,KKT
20.0/F中層2,20.0,中層,2,6845800,10532,650,385,4,KKT
33.0/F高層2,33.0,高層,2,7302100,11234,650,352,4,KKT
7.0/F低層3,7.0,低層,3,5500726,10871,506,331,5,KKT
20.0/F中層3,20.0,中層,3,5840758,11543,506,326,5,KKT
33.0/F高層3,33.0,高層,3,5309964,10494,506,263,4,KKT
7.0/F低層4,7.0,低層,4,5500726,10871,506,331,5,KKT
20.0/F中層4,20.0,中層,4,4925910,9735,506,356,4,KKT
33.0/F高層4,33.0,高層,4,5283146,10441,506,340,5,KKT
7.0/F低層5,7.0,低層,5,6510400,10016,650,356,3,KKT
20.0/F中層5,20.0,中層,5,6905600,10624,650,354,3,KKT
33.0/F高層5,33.0,高層,5,7243600,11144,650,371,3,KKT
7.0/F低層6,7.0,低層,6,6938750,10675,650,347,4,KKT
20.0/F中層6,20.0,中層,6,6713200,10328,650,369,4,KKT
33.0/F高層6,33.0,高層,6,7177950,11043,650,351,4,KKT
7.0/F低層7,7.0,低層,7,5500726,10871,506,331,5,KKT
20.0/F中層7,20.0,中層,7,4954246,9791,506,306,4,KKT
33.0/F高層7,33.0,高層,7,5242666,10361,506,306,4,KKT
7.0/F低層8,7.0,低層,8,5544748,10958,506,327,4,KKT
20.0/F中層8,20.0,中層,8,5906032,11672,506,308,4,KKT
33.0/F高層8,33.0,高層,8,5309964,10494,506,263,4,KKT
