,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
3.0/F低層A,3.0,低層,A,30576000,23520,1300,96,1,KKL
4.0/F中層A,4.0,中層,A,30938700,23799,1300,98,1,KKL
6.0/F高層A,6.0,高層,A,31665400,24358,1300,150,1,KKL
3.0/F低層B,3.0,低層,B,25413700,19549,1300,98,1,KKL
4.0/F中層B,4.0,中層,B,25712700,19779,1300,99,1,KKL
6.0/F高層B,6.0,高層,B,26309400,20238,1300,99,1,KKL
3.0/F低層C,3.0,低層,C,30575955,24559,1245,96,1,KKL
4.0/F中層C,4.0,中層,C,30939495,24851,1245,98,1,KKL
6.0/F高層C,6.0,高層,C,31665330,25434,1245,150,1,KKL
3.0/F低層D,3.0,低層,D,,,,,,KKL
4.0/F中層D,4.0,中層,D,,,,,,KKL
6.0/F高層D,6.0,高層,D,,,,,,KKL
