,subjFloor,floorLv,unitNo,price,npsf,nfa
4.0/F低層A,4.0,低層,A,,,
10.0/F中層A,10.0,中層,A,,,
17.0/F高層A,17.0,高層,A,,,
4.0/F低層B,4.0,低層,B,13981770,14610,957
10.0/F中層B,10.0,中層,B,14226762,14866,957
17.0/F高層B,17.0,高層,B,14512905,15165,957
4.0/F低層C,4.0,低層,C,14168592,14517,976
10.0/F中層C,10.0,中層,C,14417472,14772,976
17.0/F高層C,17.0,高層,C,14707344,15069,976
4.0/F低層D,4.0,低層,D,9015224,16664,541
10.0/F中層D,10.0,中層,D,8236725,15225,541
17.0/F高層D,17.0,高層,D,8386582,15502,541
4.0/F低層E,4.0,低層,E,9074520,16620,546
10.0/F中層E,10.0,中層,E,8430786,15441,546
17.0/F高層E,17.0,高層,E,9570288,17528,546
