,subjFloor,floorLv,unitNo,price,npsf,nfa
6.0/F低層A,6.0,低層,A,3759465,10897,345
12.0/F中層A,12.0,中層,A,3889248,11176,348
19.0/F高層A,19.0,高層,A,3995100,11580,345
6.0/F低層B,6.0,低層,B,4448910,10851,410
12.0/F中層B,12.0,中層,B,4546490,11089,410
19.0/F高層B,19.0,高層,B,4464075,11595,385
6.0/F低層C,6.0,低層,C,4318240,10960,394
12.0/F中層C,12.0,中層,C,4429742,11243,394
19.0/F高層C,19.0,高層,C,4561732,11578,394
6.0/F低層D,6.0,低層,D,4360398,11067,394
12.0/F中層D,12.0,中層,D,4476234,11361,394
19.0/F高層D,19.0,高層,D,4613205,11679,395
6.0/F低層E,6.0,低層,E,4449730,10853,410
12.0/F中層E,12.0,中層,E,4563710,11131,410
19.0/F高層E,19.0,高層,E,4698600,11460,410
6.0/F低層F,6.0,低層,F,3758224,11152,337
12.0/F中層F,12.0,中層,F,3856291,11443,337
19.0/F高層F,19.0,高層,F,3972219,11787,337
