,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層A,6.0,低層,A,14314677,19799,723,353,3,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
15.0/F中層A,15.0,中層,A,14961039,20693,723,327,3,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
24.0/F高層A,24.0,高層,A,15802611,21857,723,394,4,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
6.0/F低層B,6.0,低層,B,14568375,19875,733,166,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
15.0/F中層B,15.0,中層,B,15249332,20804,733,154,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
24.0/F高層B,24.0,高層,B,15941284,21748,733,136,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
6.0/F低層C,6.0,低層,C,14568375,19875,733,166,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
15.0/F中層C,15.0,中層,C,15249332,20804,733,154,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
24.0/F高層C,24.0,高層,C,15941284,21748,733,136,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
6.0/F低層D,6.0,低層,D,14389869,19903,723,168,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
15.0/F中層D,15.0,中層,D,14966100,20700,723,306,3,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
24.0/F高層D,24.0,高層,D,15746217,21779,723,138,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
6.0/F低層E,6.0,低層,E,14389869,19903,723,168,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
15.0/F中層E,15.0,中層,E,15062982,20834,723,156,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
24.0/F高層E,24.0,高層,E,15746217,21779,723,138,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
6.0/F低層F,6.0,低層,F,11814018,20299,582,139,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
15.0/F中層F,15.0,中層,F,12364008,21244,582,127,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
24.0/F高層F,24.0,高層,F,12924474,22207,582,109,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
6.0/F低層G,6.0,低層,G,11814018,20299,582,139,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
15.0/F中層G,15.0,中層,G,12364008,21244,582,127,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
24.0/F高層G,24.0,高層,G,12924474,22207,582,109,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
6.0/F低層H,6.0,低層,H,14389869,19903,723,168,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
15.0/F中層H,15.0,中層,H,15062982,20834,723,156,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
24.0/F高層H,24.0,高層,H,15746217,21779,723,138,2,HQB,"PAK HOI MANS,TAIKOO SHING,TAIKOO WAN RD|北海閣(太古城),太古灣道"
