,subjFloor,floorLv,unitNo,price,npsf,nfa
7.0/F低層A,7.0,低層,A,4934160,11748,420
16.0/F中層A,16.0,中層,A,5160540,12287,420
26.0/F高層A,26.0,高層,A,5303340,12627,420
7.0/F低層B,7.0,低層,B,5149700,11195,460
16.0/F中層B,16.0,中層,B,5316220,11557,460
26.0/F高層B,26.0,高層,B,5460660,11871,460
7.0/F低層C,7.0,低層,C,4759575,11199,425
16.0/F中層C,16.0,中層,C,5083000,11960,425
26.0/F高層C,26.0,高層,C,5384750,12670,425
7.0/F低層D,7.0,低層,D,4946340,11777,420
16.0/F中層D,16.0,中層,D,5070660,12073,420
26.0/F高層D,26.0,高層,D,5111400,12170,420
7.0/F低層E,7.0,低層,E,5957120,11456,520
16.0/F中層E,16.0,中層,E,6082440,11697,520
26.0/F高層E,26.0,高層,E,6307080,12129,520
7.0/F低層F,7.0,低層,F,5050700,11884,425
16.0/F中層F,16.0,中層,F,5351175,12591,425
26.0/F高層F,26.0,高層,F,5567075,13099,425
