,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層A,6.0,低層,A,6899364,17874,386,374,3,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
14.0/F中層A,14.0,中層,A,7185776,18616,386,395,3,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
23.0/F高層A,23.0,高層,A,7514648,19468,386,378,3,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
6.0/F低層B,6.0,低層,B,7257411,18189,399,385,4,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
14.0/F中層B,14.0,中層,B,7662795,19205,399,321,3,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
23.0/F高層B,23.0,高層,B,7898205,19795,399,377,4,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
6.0/F低層C,6.0,低層,C,6110976,15914,384,343,3,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
14.0/F中層C,14.0,中層,C,6547200,17050,384,348,4,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
23.0/F高層C,23.0,高層,C,6880896,17919,384,324,4,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
6.0/F低層D,6.0,低層,D,7024896,18294,384,340,4,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
14.0/F中層D,14.0,中層,D,7315968,19052,384,356,4,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
23.0/F高層D,23.0,高層,D,7645440,19910,384,336,4,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
6.0/F低層E,6.0,低層,E,7364516,18229,404,334,4,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
14.0/F中層E,14.0,中層,E,7669536,18984,404,350,4,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
23.0/F高層E,23.0,高層,E,8015764,19841,404,330,4,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
6.0/F低層F,6.0,低層,F,6487888,16808,386,381,4,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
14.0/F中層F,14.0,中層,F,6760018,17513,386,377,3,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
23.0/F高層F,23.0,高層,F,7135596,18486,386,397,4,HQB,"GEE LAN MANS,WESTLANDS COURT,WESTLANDS RD|芝蘭閣(華蘭花園),華蘭路"
