,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
3.0/F低層A,3.0,低層,A,7267986,11374,639,320,4,HNP
8.0/F中層A,8.0,中層,A,7498026,11734,639,318,4,HNP
12.0/F高層A,12.0,高層,A,7682058,12022,639,310,4,HNP
3.0/F低層B,3.0,低層,B,5210205,12145,429,431,3,HNP
8.0/F中層B,8.0,中層,B,5369793,12517,429,427,3,HNP
12.0/F高層B,12.0,高層,B,5497635,12815,429,412,3,HNP
3.0/F低層C,3.0,低層,C,7240887,11439,633,367,4,HNP
8.0/F中層C,8.0,中層,C,7468134,11798,633,362,4,HNP
12.0/F高層C,12.0,高層,C,7649172,12084,633,352,4,HNP
3.0/F低層C2A,3.0,低層,C2A,4003585,11951,335,302,4,HNP
8.0/F中層C2A,8.0,中層,C2A,4128540,12324,335,304,4,HNP
12.0/F高層C2A,12.0,高層,C2A,4204585,12551,335,345,5,HNP
3.0/F低層D,3.0,低層,D,5913369,12243,483,404,4,HNP
8.0/F中層D,8.0,中層,D,6110916,12652,483,323,3,HNP
12.0/F高層D,12.0,高層,D,6322470,13090,483,387,3,HNP
3.0/F低層E,3.0,低層,E,5896947,12209,483,359,4,HNP
8.0/F中層E,8.0,中層,E,6081936,12592,483,361,4,HNP
12.0/F高層E,12.0,高層,E,5723117,12919,443,362,4,HNP
3.0/F低層F,3.0,低層,F,5896947,12209,483,359,4,HNP
8.0/F中層F,8.0,中層,F,6081936,12592,483,361,4,HNP
12.0/F高層F,12.0,高層,F,6230217,12899,483,353,4,HNP
3.0/F低層G,3.0,低層,G,6121890,12195,502,350,4,HNP
8.0/F中層G,8.0,中層,G,6314156,12578,502,352,4,HNP
12.0/F高層G,12.0,高層,G,6468270,12885,502,344,4,HNP
3.0/F低層H,3.0,低層,H,5101144,12031,424,397,4,HNP
8.0/F中層H,8.0,中層,H,5258872,12403,424,386,4,HNP
12.0/F高層H,12.0,高層,H,5423808,12792,424,373,4,HNP
