,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address_en,st_address_ch,st_address,ch_address,en_address,final_address,subject_pty_consid,floor_copy,time_adj_npsf
235,6904435,ASP,1997-01-09,RES,blank,1970/11,20.35,2600,2380,7827,8550.420168067227,CPS 213 ,blank,4960521,6904435,2,6.0,B,blank,blank,blank,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,blank,EVERGREEN VILLA||Phase |Block B,司徒拔道EVERGREEN VILLA|Phase|BlockB,司徒拔道EVERGREEN VILLA|Phase|BlockB|6|2,山頂,1970,50,blankblank,43 STUBBS RD,43 司徒拔道,43 STUBBS RD|43 司徒拔道,"松柏新村B座,司徒拔道","EVERGREEN VILLA(BLOCK B),STUBBS RD","EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道",STUBBS RDEVERGREEN VILLAblankblank|Phaseblank|BlockB|6|2consid20.35,6,21855.192426526177
241,6915485,SUB-ASP,1997-01-17,RES,blank,1970/08,22.0,0,2280,0,9649.122807017544,CPS B21 ON G/F ,blank,4962406,6915485,2,3.0,B,blank,blank,blank,VILLA VERDE,環翠園,GUILDFORD RD,僑福道,12,14,HP,RBL802,VILLA VERDE||Phase |Block B,僑福道VILLA VERDE|Phase|BlockB,僑福道VILLA VERDE|Phase|BlockB|3|2,山頂,1970,50,blankblank,12-14 GUILDFORD RD,12-14 僑福道,12-14 GUILDFORD RD|12-14 僑福道,"環翠園B座,僑福道","VILLA VERDE(BLOCK B),GUILDFORD RD","VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",GUILDFORD RDVILLA VERDEblankblank|Phaseblank|BlockB|3|2consid22.0,3,24663.517294989237
246,6927989,ASP,1997-01-17,RES,blank,1972/03,21.5,2547,2280,8441,9429.82456140351,CPS G117 ON G/F ,blank,4967591,6927989,1,9.0,C,blank,blank,blank,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,blank,EVERGREEN VILLA||Phase |Block C,司徒拔道EVERGREEN VILLA|Phase|BlockC,司徒拔道EVERGREEN VILLA|Phase|BlockC|9|1,山頂,1972,48,blankblank,43 STUBBS RD,43 司徒拔道,43 STUBBS RD|43 司徒拔道,"松柏新村C座,司徒拔道","EVERGREEN VILLA(BLOCK C),STUBBS RD","EVERGREEN VILLA(Block C),STUBBS RD|松柏新村C座,司徒拔道",STUBBS RDEVERGREEN VILLAblankblank|Phaseblank|BlockC|9|1consid21.5,9,24102.98281101221
247,6930872,ASP,1997-01-18,RES,blank,9999,21.0,0,2000,0,10500.0,CPS 31 ,blank,4968941,6930872,A,1.0,blank,blank,blank,blank,blank,blank,STUBBS RD,司徒拔道,47A,blank,HP,blank,||Phase |Block ,司徒拔道|Phase|Block,司徒拔道|Phase|Block|1|A,山頂,9999,-7979,blankblank,47A STUBBS RD,47A 司徒拔道,47A STUBBS RD|47A 司徒拔道,47A 司徒拔道,47A STUBBS RD,47A STUBBS RD|47A 司徒拔道,STUBBS RDblankblankblank|Phaseblank|Blockblank|1|Aconsid21.0,1,26838.391092820104
248,6932280,SUB-ASP,1997-01-17,RES,blank,1990/11,22.5,1993,1662,11290,13537.906137184116,CPS 13 ON L2 ,blank,4970005,6932280,2,15.0,A,blank,blank,blank,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,blank,NICHOLSON TOWER||Phase |Block A,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA|15|2,山頂,1990,30,blankblank,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(BLOCK A),WONG NAI CHUNG GAP RD","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道",WONG NAI CHUNG GAP RDNICHOLSON TOWERblankblank|Phaseblank|BlockA|15|2consid22.5,15,34603.39233215589
255,6946153,ASP,1997-02-03,RES,blank,1965/04,20.65,0,2590,0,7972.972972972973,blank,blank,4976132,6946153,2,6.0,A,blank,blank,blank,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,blank,VILLA MONTE ROSA||Phase |Block A,司徒拔道VILLA MONTE ROSA|Phase|BlockA,司徒拔道VILLA MONTE ROSA|Phase|BlockA|6|2,山頂,1965,55,blankblank,41A STUBBS RD,41A 司徒拔道,41A STUBBS RD|41A 司徒拔道,"玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(BLOCK A),STUBBS RD","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道",STUBBS RDVILLA MONTE ROSAblankblank|Phaseblank|BlockA|6|2consid20.65,6,19913.146106029795
258,6947740,ASP,1997-02-10,RES,blank,1965/04,16.9,2217,2074,7623,8148.505303760849,CPS 187 ,blank,4976934,6947740,1,11.0,D,blank,blank,blank,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,blank,VILLA MONTE ROSA||Phase |Block D,司徒拔道VILLA MONTE ROSA|Phase|BlockD,司徒拔道VILLA MONTE ROSA|Phase|BlockD|11|1,山頂,1965,55,blankblank,41A STUBBS RD,41A 司徒拔道,41A STUBBS RD|41A 司徒拔道,"玫瑰新村D座,司徒拔道","VILLA MONTE ROSA(BLOCK D),STUBBS RD","VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道",STUBBS RDVILLA MONTE ROSAblankblank|Phaseblank|BlockD|11|1consid16.9,11,20351.552326790825
281,7017587,SUB-ASP,1997-03-12,RES,blank,1990/11,23.5,1993,1662,11791,14139.590854392298,CPS 1 ON L1/F ,blank,5005946,7017587,1,7.0,A,blank,blank,blank,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,blank,NICHOLSON TOWER||Phase |Block A,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA|7|1,山頂,1990,30,blankblank,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(BLOCK A),WONG NAI CHUNG GAP RD","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道",WONG NAI CHUNG GAP RDNICHOLSON TOWERblankblank|Phaseblank|BlockA|7|1consid23.5,7,32264.015350592465
291,7057487,ASP,1997-04-22,RES,blank,1970/11,20.8,2600,2380,8000,8739.495798319327,CPS 106118  ON 1/F ,blank,5021843,7057487,1,4.0,A,blank,blank,blank,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,blank,EVERGREEN VILLA||Phase |Block A,司徒拔道EVERGREEN VILLA|Phase|BlockA,司徒拔道EVERGREEN VILLA|Phase|BlockA|4|1,山頂,1970,50,blankblank,43 STUBBS RD,43 司徒拔道,43 STUBBS RD|43 司徒拔道,"松柏新村A座,司徒拔道","EVERGREEN VILLA(BLOCK A),STUBBS RD","EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道",STUBBS RDEVERGREEN VILLAblankblank|Phaseblank|BlockA|4|1consid20.8,4,20140.89968805745
292,7058104,ASP,1997-04-09,RES,blank,1990/11,16.0,1993,1662,8028,9626.955475330926,CPS 27 ON CPL1/F ,blank,5022026,7058104,2,20.0,A,blank,blank,blank,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,blank,NICHOLSON TOWER||Phase |Block A,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA|20|2,山頂,1990,30,blankblank,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(BLOCK A),WONG NAI CHUNG GAP RD","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道",WONG NAI CHUNG GAP RDNICHOLSON TOWERblankblank|Phaseblank|BlockA|20|2consid16.0,20,22186.124806802152
