,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
9,1995-11-14,"BAYSIDE VILLAS,PIK SHA RD|碧沙別墅,碧沙路",4990.610328638498,0.0,2130.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",10.63,10.63,4991.0,4990.610328638498,240075.0,4775751.0,ASP,NSK,西貢,1968/07,1968.0,54.0,A2,0.0,blank,blank,blank,,False
12,1995-11-06,"SAI KUNG TOWN CTR(Block A),FUK MAN RD|西貢苑A座,福民路",3210.7023411371238,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.96,0.96,3211.0,3210.7023411371238,240092.0,4777267.0,ASP,NSK,西貢,1987/01,1987.0,35.0,C,8.0,A,blank,SAI KUNG TOWN CTR,西貢苑,False
14,1995-11-03,"SAI KUNG TOWN CTR(Block B),FUK MAN RD|西貢苑B座,福民路",3612.040133779264,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.08,1.08,3612.0,3612.040133779264,240322.0,4779539.0,ASP,NSK,西貢,1987/01,1987.0,35.0,D,5.0,B,blank,SAI KUNG TOWN CTR,西貢苑,False
31,1995-12-05,"SAI KUNG TOWN CTR(Block C),FUK MAN RD|西貢苑C座,福民路",3627.287853577371,801.0,601.0,"{'bay_window': '', 'flat_roof': '', 'roof': '416', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.18,2.18,3627.0,3627.287853577371,240692.0,4781232.0,ASP,NSK,西貢,1987/01,1987.0,35.0,B,11.0,C,blank,SAI KUNG TOWN CTR,西貢苑,False
35,1995-12-06,"SAI KUNG TOWN CTR(Block C),FUK MAN RD|西貢苑C座,福民路",3612.040133779264,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.08,1.08,3612.0,3612.040133779264,240755.0,4788605.0,ASP,NSK,西貢,1987/01,1987.0,35.0,B,7.0,C,blank,SAI KUNG TOWN CTR,西貢苑,False
38,1995-12-05,"SAI KUNG TOWN CTR(Block B),FUK MAN RD|西貢苑B座,福民路",4156.626506024097,442.0,332.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.38,1.38,4157.0,4156.626506024097,240767.0,4788608.0,ASP,NSK,西貢,1987/01,1987.0,35.0,E,5.0,B,blank,SAI KUNG TOWN CTR,西貢苑,False
47,1995-11-28,"SAI KUNG TOWN CTR(Block C),FUK MAN RD|西貢苑C座,福民路",3578.5953177257525,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.07,1.07,3579.0,3578.5953177257525,240894.0,4783464.0,ASP,NSK,西貢,1987/01,1987.0,35.0,B,8.0,C,blank,SAI KUNG TOWN CTR,西貢苑,False
57,1995-11-16,"SAI KUNG TOWN CTR(Block B),FUK MAN RD|西貢苑B座,福民路",3812.7090301003345,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.14,1.14,3813.0,3812.7090301003345,241126.0,4786943.0,ASP,NSK,西貢,1987/01,1987.0,35.0,D,6.0,B,blank,SAI KUNG TOWN CTR,西貢苑,False
120,1996-01-19,"SAI KUNG TOWN CTR(Block A),FUK MAN RD|西貢苑A座,福民路",3341.1371237458197,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.9990000000000001,0.9990000000000001,3341.0,3341.1371237458197,242300.0,4798043.0,ASP,NSK,西貢,1987/01,1987.0,35.0,B,5.0,A,blank,SAI KUNG TOWN CTR,西貢苑,False
152,1996-02-13,"SAI KUNG TOWN CTR(Block A),FUK MAN RD|西貢苑A座,福民路",3545.150501672241,398.0,299.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.06,1.06,3545.0,3545.150501672241,243137.0,4806422.0,ASP,NSK,西貢,1987/01,1987.0,35.0,B,8.0,A,blank,SAI KUNG TOWN CTR,西貢苑,False
