,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
2.0/F低層1,2.0,低層,1,3916320,8159,480,192,2,KSPK
4.0/F中層1,4.0,中層,1,3955680,8241,480,192,2,KSPK
6.0/F高層1,6.0,高層,1,2688700,7682,350,159,2,KSPK
2.0/F低層12,2.0,低層,12,2677765,7543,355,158,2,KSPK
4.0/F中層12,4.0,中層,12,2702615,7613,355,160,2,KSPK
6.0/F高層12,6.0,高層,12,2724980,7676,355,160,2,KSPK
2.0/F低層13,2.0,低層,13,2783510,7523,370,158,2,KSPK
4.0/F中層13,4.0,中層,13,2809040,7592,370,160,2,KSPK
6.0/F高層13,6.0,高層,13,2831980,7654,370,160,2,KSPK
2.0/F低層2,2.0,低層,2,3268590,7514,435,207,2,KSPK
4.0/F中層2,4.0,中層,2,3298170,7582,435,209,2,KSPK
6.0/F高層2,6.0,高層,2,3325575,7645,435,208,2,KSPK
2.0/F低層3,2.0,低層,3,3220305,7403,435,161,2,KSPK
4.0/F中層3,4.0,中層,3,3350805,7703,435,313,3,KSPK
6.0/F高層3,6.0,高層,3,3275550,7530,435,163,2,KSPK
2.0/F低層4,2.0,低層,4,3220305,7403,435,161,2,KSPK
4.0/F中層4,4.0,中層,4,3249450,7470,435,163,2,KSPK
6.0/F高層4,6.0,高層,4,3275550,7530,435,163,2,KSPK
2.0/F低層5,2.0,低層,5,3327315,7649,435,311,3,KSPK
4.0/F中層5,4.0,中層,5,3334710,7666,435,261,3,KSPK
6.0/F高層5,6.0,高層,5,3362115,7729,435,258,3,KSPK
2.0/F低層6,2.0,低層,6,3266415,7509,435,345,3,KSPK
4.0/F中層6,4.0,中層,6,3273375,7525,435,296,3,KSPK
6.0/F高層6,6.0,高層,6,2557500,7750,330,268,3,KSPK
2.0/F低層7,2.0,低層,7,3204645,7367,435,252,3,KSPK
4.0/F中層7,4.0,中層,7,3229875,7425,435,313,3,KSPK
6.0/F高層7,6.0,高層,7,3262935,7501,435,254,3,KSPK
