,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
2.0/F低層A,2.0,低層,A,36888797,20081,1837,376,3,NSK
4.0/F中層A,4.0,中層,A,38053455,20715,1837,336,3,NSK
6.0/F高層A,6.0,高層,A,39208928,21344,1837,368,3,NSK
2.0/F低層B,2.0,低層,B,36894308,20084,1837,373,3,NSK
4.0/F中層B,4.0,中層,B,38114076,20748,1837,338,3,NSK
6.0/F高層B,6.0,高層,B,39304452,21396,1837,373,3,NSK
2.0/F低層C,2.0,低層,C,19898086,17198,1157,354,3,NSK
4.0/F中層C,4.0,中層,C,20458074,17682,1157,390,4,NSK
6.0/F高層C,6.0,高層,C,21159216,18288,1157,364,3,NSK
2.0/F低層D,2.0,低層,D,20684480,17470,1184,356,3,NSK
4.0/F中層D,4.0,中層,D,21312000,18000,1184,385,4,NSK
6.0/F高層D,6.0,高層,D,21956096,18544,1184,374,4,NSK
2.0/F低層E,2.0,低層,E,16870304,17428,968,337,3,NSK
4.0/F中層E,4.0,中層,E,17925424,18518,968,380,4,NSK
6.0/F高層E,6.0,高層,E,17828624,18418,968,345,3,NSK
