,subjFloor,floorLv,unitNo,price,npsf,nfa
12.0/F低層A,12.0,低層,A,5682600,17325,328
26.0/F中層A,26.0,中層,A,6223144,18973,328
41.0/F高層A,41.0,高層,A,6498992,19814,328
12.0/F低層B,12.0,低層,B,6271244,16163,388
26.0/F中層B,26.0,中層,B,6601044,17013,388
41.0/F高層B,41.0,高層,B,6924636,17847,388
12.0/F低層C,12.0,低層,C,8058850,16966,475
26.0/F中層C,26.0,中層,C,7908275,16649,475
41.0/F高層C,41.0,高層,C,8175700,17212,475
12.0/F低層D,12.0,低層,D,6079590,17622,345
26.0/F中層D,26.0,中層,D,6257955,18139,345
41.0/F高層D,41.0,高層,D,6618825,19185,345
12.0/F低層E,12.0,低層,E,6160320,17856,345
26.0/F中層E,26.0,中層,E,6533955,18939,345
41.0/F高層E,41.0,高層,E,7113900,20620,345
12.0/F低層F,12.0,低層,F,6496100,13676,475
26.0/F中層F,26.0,中層,F,8415100,17716,475
41.0/F高層F,41.0,高層,F,8559500,18020,475
12.0/F低層G,12.0,低層,G,6524220,16815,388
26.0/F中層G,26.0,中層,G,6910668,17811,388
41.0/F高層G,41.0,高層,G,7118636,18347,388
12.0/F低層H,12.0,低層,H,5658656,17252,328
26.0/F中層H,26.0,中層,H,5565176,16967,328
41.0/F高層H,41.0,高層,H,6012896,18332,328
