,subjFloor,floorLv,unitNo,price,npsf,nfa
3.0/F低層A,3.0,低層,A,5657500,9125,620
8.0/F中層A,8.0,中層,A,5863960,9458,620
12.0/F高層A,12.0,高層,A,6022060,9713,620
3.0/F低層B,3.0,低層,B,3401400,11338,300
8.0/F中層B,8.0,中層,B,5065938,11061,458
12.0/F高層B,12.0,高層,B,5201048,11356,458
3.0/F低層C,3.0,低層,C,5087040,10598,480
8.0/F中層C,8.0,中層,C,5131275,11035,465
12.0/F高層C,12.0,高層,C,5268450,11330,465
3.0/F低層D,3.0,低層,D,3537280,11054,320
8.0/F中層D,8.0,中層,D,3664353,11487,319
12.0/F高層D,12.0,高層,D,3760372,11788,319
3.0/F低層E,3.0,低層,E,3606720,11271,320
8.0/F中層E,8.0,中層,E,3724006,11674,319
12.0/F高層E,12.0,高層,E,3822258,11982,319
