,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_I,npsf_I,nfa_I,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,5856037.2,11286.2,10,58560372.0,112862.0,5198,"HONG MAN COURT(SUN HING GDN),ON PO LANE|康民閣(新興花園),安埔里",6665298.0,11278.0,591.0,6665298.0,11278.0,591.0,5349039.0,11553.0,463.0,4993872.0,11778.0,424.0,4766714.0,10229.0,466.0,6615063.0,11193.0,591.0,6791181.0,11491.0,591.0,6333808.0,10699.0,592.0,5031060.0,11810.0,426.0,5349039.0,11553.0,463.0,-0.050925343532536416,-0.050949790196853306
2019-11-15,6170259.8,11892.1,10,61702598.0,118921.0,5198,"HONG MAN COURT(SUN HING GDN),ON PO LANE|康民閣(新興花園),安埔里",7029354.0,11894.0,591.0,7029354.0,11894.0,591.0,5627765.0,12155.0,463.0,5254208.0,12392.0,424.0,5067750.0,10875.0,466.0,6959616.0,11776.0,591.0,7146372.0,12092.0,591.0,6666512.0,11261.0,592.0,5293902.0,12427.0,426.0,5627765.0,12155.0,463.0,0.05252781375279336,0.052631113078114744
2019-10-15,5862324.7,11297.5,10,58623247.0,112975.0,5198,"HONG MAN COURT(SUN HING GDN),ON PO LANE|康民閣(新興花園),安埔里",6720852.0,11372.0,591.0,6720852.0,11372.0,591.0,5312925.0,11475.0,463.0,4970976.0,11724.0,424.0,4845934.0,10399.0,466.0,6652887.0,11257.0,591.0,6648750.0,11250.0,591.0,6375840.0,10770.0,592.0,5061306.0,11881.0,426.0,5312925.0,11475.0,463.0,-0.05009882427317092,-0.05105289240926303
2019-9-15,6171510.1,11905.3,10,61715101.0,119053.0,5198,"HONG MAN COURT(SUN HING GDN),ON PO LANE|康民閣(新興花園),安埔里",6893424.0,11664.0,591.0,6893424.0,11664.0,591.0,5638414.0,12178.0,463.0,5276256.0,12444.0,424.0,5145106.0,11041.0,466.0,6995667.0,11837.0,591.0,7093182.0,12002.0,591.0,6768928.0,11434.0,592.0,5372286.0,12611.0,426.0,5638414.0,12178.0,463.0,0.03718746680278673,0.03684833916845198
2019-8-15,5950235.9,11482.2,10,59502359.0,114822.0,5198,"HONG MAN COURT(SUN HING GDN),ON PO LANE|康民閣(新興花園),安埔里",6636339.0,11229.0,591.0,6636339.0,11229.0,591.0,5425897.0,11719.0,463.0,5077824.0,11976.0,424.0,4952648.0,10628.0,466.0,6735036.0,11396.0,591.0,6829005.0,11555.0,591.0,6516736.0,11008.0,592.0,5266638.0,12363.0,426.0,5425897.0,11719.0,463.0,-0.039910732341419064,-0.039733050103284095
2019-7-15,6197586.1,11957.3,10,61975861.0,119573.0,5198,"HONG MAN COURT(SUN HING GDN),ON PO LANE|康民閣(新興花園),安埔里",7014579.0,11869.0,591.0,7014579.0,11869.0,591.0,5612023.0,12121.0,463.0,5370384.0,12666.0,424.0,5124602.0,10997.0,466.0,6969072.0,11792.0,591.0,7066587.0,11957.0,591.0,6743472.0,11391.0,592.0,5448540.0,12790.0,426.0,5612023.0,12121.0,463.0,0.07373448397262816,0.07375179597701154
2019-6-15,5771991.3,11136.0,10,57719913.0,111360.0,5198,"HONG MAN COURT(SUN HING GDN),ON PO LANE|康民閣(新興花園),安埔里",6533505.0,11055.0,591.0,6533505.0,11055.0,591.0,5224955.0,11285.0,463.0,5001504.0,11796.0,424.0,4772772.0,10242.0,466.0,6491544.0,10984.0,591.0,6581967.0,11137.0,591.0,6281120.0,10610.0,592.0,5074086.0,11911.0,426.0,5224955.0,11285.0,463.0,-0.0750378146168188,-0.075205952697316
2019-5-15,6240245.7,12041.6,10,62402457.0,120416.0,5198,"HONG MAN COURT(SUN HING GDN),ON PO LANE|康民閣(新興花園),安埔里",7074270.0,11970.0,591.0,6982074.0,11814.0,591.0,5655545.0,12215.0,463.0,5415328.0,12772.0,424.0,5169804.0,11094.0,466.0,7028763.0,11893.0,591.0,7127460.0,12060.0,591.0,6799120.0,11485.0,592.0,5494548.0,12898.0,426.0,5655545.0,12215.0,463.0,0.047761274172613666,0.048828499259646385
2019-4-15,5955789.6,11481.0,10,59557896.0,114810.0,5198,"HONG MAN COURT(SUN HING GDN),ON PO LANE|康民閣(新興花園),安埔里",6783498.0,11478.0,591.0,6695439.0,11329.0,591.0,5420804.0,11708.0,463.0,5074432.0,11968.0,424.0,4959172.0,10642.0,466.0,6739764.0,11404.0,591.0,6834915.0,11565.0,591.0,6517920.0,11010.0,592.0,5111148.0,11998.0,426.0,5420804.0,11708.0,463.0,0.034229930876234826,0.034240466989163165
2019-3-15,5758670.7,11100.9,10,57586707.0,111009.0,5198,"HONG MAN COURT(SUN HING GDN),ON PO LANE|康民閣(新興花園),安埔里",6559509.0,11099.0,591.0,6474405.0,10955.0,591.0,5239771.0,11317.0,463.0,4905256.0,11569.0,424.0,4797004.0,10294.0,466.0,6517548.0,11028.0,591.0,6610335.0,11185.0,591.0,6300656.0,10643.0,592.0,4942452.0,11602.0,426.0,5239771.0,11317.0,463.0,0.04331592115406946,0.04145792288207151
