,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_blank,npsf_blank,nfa_blank
2018-1-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,
2018-2-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,
2018-3-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,
2018-4-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,
2018-5-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,
2018-6-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,
2018-7-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,
2018-8-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,
2018-9-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,
2018-10-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,
2018-11-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,
2018-12-15,35233608.0,20677.0,1,35233608,20677,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",35233608.0,20677.0,1704.0
2019-1-15,43668408.0,25627.0,1,43668408,25627,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",43668408.0,25627.0,1704.0
2019-2-15,44888472.0,26343.0,1,44888472,26343,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",44888472.0,26343.0,1704.0
2019-3-15,41858760.0,24565.0,1,41858760,24565,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",41858760.0,24565.0,1704.0
2019-4-15,40275744.0,23636.0,1,40275744,23636,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",40275744.0,23636.0,1704.0
2019-5-15,43692264.0,25641.0,1,43692264,25641,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",43692264.0,25641.0,1704.0
2019-6-15,45271872.0,26568.0,1,45271872,26568,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",45271872.0,26568.0,1704.0
2019-7-15,42823224.0,25131.0,1,42823224,25131,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",42823224.0,25131.0,1704.0
2019-8-15,43182768.0,25342.0,1,43182768,25342,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",43182768.0,25342.0,1704.0
2019-9-15,43377024.0,25456.0,1,43377024,25456,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",43377024.0,25456.0,1704.0
2019-10-15,43138464.0,25316.0,1,43138464,25316,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",43138464.0,25316.0,1704.0
2019-11-15,41947368.0,24617.0,1,41947368,24617,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",41947368.0,24617.0,1704.0
2019-12-15,39243120.0,23030.0,1,39243120,23030,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",39243120.0,23030.0,1704.0
