,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
5.0/F低層A,5.0,低層,A,3467842,13037,266,162,2,HKT
12.0/F中層A,12.0,中層,A,4514818,16973,266,390,4,HKT
19.0/F高層A,19.0,高層,A,3793958,14263,266,197,2,HKT
5.0/F低層B,5.0,低層,B,4296348,17049,252,350,4,HKT
12.0/F中層B,12.0,中層,B,4468716,17733,252,346,4,HKT
19.0/F高層B,19.0,高層,B,4645620,18435,252,323,4,HKT
5.0/F低層C,5.0,低層,C,4372956,17353,252,371,4,HKT
12.0/F中層C,12.0,中層,C,4554144,18072,252,348,4,HKT
19.0/F高層C,19.0,高層,C,3652632,18828,194,321,4,HKT
5.0/F低層D,5.0,低層,D,4536896,17056,266,318,3,HKT
12.0/F中層D,12.0,中層,D,4720968,17748,266,303,3,HKT
19.0/F高層D,19.0,高層,D,4909030,18455,266,275,3,HKT
5.0/F低層E,5.0,低層,E,3210248,17447,184,306,4,HKT
12.0/F中層E,12.0,中層,E,3340704,18156,184,323,4,HKT
19.0/F高層E,19.0,高層,E,3393512,18443,184,335,3,HKT
5.0/F低層F,5.0,低層,F,3309608,17987,184,326,5,HKT
12.0/F中層F,12.0,中層,F,3439512,18693,184,318,5,HKT
19.0/F高層F,19.0,高層,F,3566656,19384,184,293,5,HKT
