,subjFloor,floorLv,unitNo,price,npsf,nfa
3.0/F低層A,3.0,低層,A,13065860,15742,830
6.0/F中層A,6.0,中層,A,13414460,16162,830
10.0/F高層A,10.0,高層,A,13880920,16724,830
3.0/F低層B,3.0,低層,B,13114000,15800,830
6.0/F中層B,6.0,中層,B,13464260,16222,830
10.0/F高層B,10.0,高層,B,13934040,16788,830
3.0/F低層C,3.0,低層,C,11743704,15534,756
6.0/F中層C,6.0,中層,C,12057444,15949,756
10.0/F高層C,10.0,高層,C,12477024,16504,756
3.0/F低層D,3.0,低層,D,11706552,15444,758
6.0/F中層D,6.0,中層,D,12035524,15878,758
10.0/F高層D,10.0,高層,D,12452424,16428,758
3.0/F低層E,3.0,低層,E,11173242,15454,723
6.0/F中層E,6.0,中層,E,11472564,15868,723
10.0/F高層E,10.0,高層,E,11872383,16421,723
