,subjFloor,floorLv,unitNo,price,npsf,nfa
12.0/F低層A,12.0,低層,A,20838465,17151,1215
28.0/F中層A,28.0,中層,A,23571000,19400,1215
52.0/F高層A,52.0,高層,A,26362880,21680,1216
12.0/F低層B,12.0,低層,B,22135869,18279,1211
28.0/F中層B,28.0,中層,B,23704114,19574,1211
52.0/F高層B,52.0,高層,B,26171928,21594,1212
12.0/F低層C,12.0,低層,C,11595311,15197,763
28.0/F中層C,28.0,中層,C,12146197,15919,763
52.0/F高層C,52.0,高層,C,12857313,16851,763
12.0/F低層D,12.0,低層,D,11531052,15093,764
28.0/F中層D,28.0,中層,D,12042630,15742,765
52.0/F高層D,52.0,高層,D,12819105,16757,765
